kanjiID,kanji,authorsNote,onyomiReadingOne,onyomiReadingTwo,onyomiReadingThree,onyomiVocabWordOne,onyomiVocabWordReadingOne,onyomiVocabWordMeaningOne,onyomiSampleSentenceOne,onyomiSampleSentenceMeaningOne,onyomiVocabWordTwo,onyomiVocabWordReadingTwo,onyomiVocabWordMeaningTwo,onyomiSampleSentenceTwo,onyomiSampleSentenceMeaningTwo,onyomiVocabWordThree,onyomiVocabWordReadingThree,onyomiVocabWordMeaningThree,onyomiSampleSentenceThree,onyomiSampleSentenceMeaningThree,onyomiVocabWordFour,onyomiVocabWordReadingFour,onyomiVocabWordMeaningFour,onyomiSampleSentenceFour,onyomiSampleSentenceMeaningFour,onyomiVocabWordFive,onyomiVocabWordReadingFive,onyomiVocabWordMeaningFive,onyomiSampleSentenceFive,onyomiSampleSentenceMeaningFive,onyomiVocabWordSix,onyomiVocabWordReadingSix,onyomiVocabWordMeaningSix,onyomiSampleSentenceSix,onyomiSampleSentenceMeaningSix,onyomiMultipleChoiceReadingOne,onyomiMultipleChoiceReadingTwo,onyomiMultipleChoiceReadingThree,onyomiMultipleChoiceReadingFour,onyomiMultipleChoiceReadingFive,onyomiMultipleChoiceReadingSix,furiganaOnyomiSampleSentenceOne,furiganaOnyomiSampleSentenceTwo,furiganaOnyomiSampleSentenceThree,furiganaOnyomiSampleSentenceFour,furiganaOnyomiSampleSentenceFive,furiganaOnyomiSampleSentenceSix,associatedLevel
167,語,None,ご,None,None,言語,げんご,Language,言語//げんご//を学//まな//ぶことは楽//たの//しいです。,Learning languages is fun.,語学,ごがく,Language study,語学//ごがく//の勉強//べんきょう//に励//はげ//んでいます。,I am working hard on language studies.,国語,こくご,National language,国語//こくご//の授業//じゅぎょう//が始//はじ//まります。,The national language class is starting.,,,,,,,,,,,,,,,,"ご,し,げん,こ","ご,しゃ,かん,げん","ご,ごう,き,ぎ",,,,,,,,,,9
168,親,None,しん,None,None,親切,しんせつ,Kindness,彼女//かのじょ//は親切//しんせつ//だから、みんなに好//す//かれている。,"Because she is so kind, everyone likes her.",親友,しんゆう,Best friend,彼//かれ//は私//わたし//の親友//しんゆう//です。,He is my best friend.,,,,,,,,,,,,,,,,,,,,,"しん,せい,しゃ,し","しん,かん,せ,し",,,,,,,,,,,9
169,園,None,えん,None,None,公園,こうえん,Park,朝//あさ//、公園//こうえん//を歩//ある//くのは気持//きも//ちいい。,Taking a walk in the park in the morning feels good.,楽園,らくえん,Paradise,ここは楽園//らくえん//のようです。,This place feels like paradise.,,,,,,,,,,,,,,,,,,,,,"えん,けん,し,てい","えん,げん,てん,こく",,,,,,,,,,,9
170,聞,None,ぶん,None,None,新聞,しんぶん,Newspaper,今//いま//の時代//じだい//、新聞//しんぶん//を買//か//う人//ひと//は少//すく//ない。,"These days, few people buy newspapers.",,,,,,,,,,,,,,,,,,,,,,,,,,"ぶん,しん,ふん,がん",,,,,,,,,,,,9
171,馬,None,ば,None,None,馬車,ばしゃ,Carriage,馬車//ばしゃ//に乗//の//って旅//たび//をしました。,I traveled by carriage.,馬力,ばりき,Horsepower,この車//くるま//は馬力//ばりき//があって、乗//の//りやすい。,This car has great horsepower and is easy to drive.,,,,,,,,,,,,,,,,,,,,,"ば,かん,さ,か","ば,が,き,ま",,,,,,,,,,,9
172,矢,None,し,None,None,一矢,いっし,"To strike back, Counterattack, Retaliate",なんとか一矢//いっし//を報//むく//いた。(Think scoring a point when all odds are agaisnt you.),"Somehow, I managed to strike back.",,,,,,,,,,,,,,,,,,,,,,,,,,"し,じ,しん,しゅう",,,,,,,,,,,,9
173,頭,None,とう,ず,None,先頭,せんとう,"Front, Leader",彼//かれ//は先頭//せんとう//に立//た//ちました。(Physical position at the head of a group or line.),He stood at the front of the line,年頭,ねんとう,Beginning of the year,年頭//ねんとう//の挨拶//あいさつ//をしました。,I gave a New Year's greeting.,頭上,ずじょう,Overhead,鳥//とり//が頭上//ずじょう//を飛//と//んでいます。,A bird is flying overhead.,,,,,,,,,,,,,,,,"とう,どう,ず,ど","とう,どう,ず,ど","ず,せん,か,とう",,,,,,,,,,9
174,食,None,しょく,じき,None,食事//じ//,しょくじ,Meal,食事//しょくじ//を終//お//えました。,I finished my meal.,会食,かいしょく,Dining together,会食//かいしょく//を楽//たの//しみました。,I enjoyed dining together.,,,,,,,,,,,,,,,,,,,,,"しょく,せい,し,ぜん","しょく,た,しく,ぞく",,,,,,,,,,,9
175,門,None,もん,None,None,正門,せいもん,Main gate,学校//がっこう//の正門//せいもん//を通//とお//りました,I passed through the main gate of the school.,校門,こうもん,School gate,校門//こうもん//の前//まえ//で待//ま//っています。,I am waiting in front of the school gate.,入門,にゅうもん,Introduction,日本//にほん//文化//ぶんか//の入//にゅう//門//もん//書//しょ//です。,This is an introduction to Japanese culture.,,,,,,,,,,,,,,,,"もん,けい,じ,まん","もん,もる,ぼん,かど","もん,けい,じ,まん",,,,,,,,,,9
176,何,"The word '幾何' is read as 'ka' in this usage, but since it's not used elsewhere, there's no need to remember it.",None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
177,南,None,なん,None,None,南国,なんごく,"Southern country, Tropical country",南国//なんごく//でバカンスを楽//たの//しみました。,I enjoyed a vacation in a tropical country.,南北,なんぼく,North and south,日本//にほん//は南北//なんぼく//に長//なが//い国//くに//です。,Japan is a long country from north to south.,,,,,,,,,,,,,,,,,,,,,"なん,きょく,み,な","なん,せい,き,とう",,,,,,,,,,,9
178,船,None,せん,None,None,船長,せんちょう,Captain,船長//せんちょう//が「出発//しゅっぱつ//します」と言//い//いました。,"The captain said, ""We are departing.""",,,,,,,,,,,,,,,,,,,,,,,,,,"せん,しゃ,ご,ぜん",,,,,,,,,,,,9
179,答,None,とう,None,None,回答,かいとう,Reply,メールの回答//かいとう//が届//とど//きました。,A reply to the email has arrived.,,,,,,,,,,,,,,,,,,,,,,,,,,"とう,かん,し,どう",,,,,,,,,,,,9
180,夜,None,や,None,None,夜食,やしょく,Late-night meal,夜食//やしょく//にラーメンを食//た//べました。,I ate ramen as a late-night meal.,,,,,,,,,,,,,,,,,,,,,,,,,,"や,よ,ゆ,よん",,,,,,,,,,,,9
181,羽,None,う,None,None,羽毛//もう//,うもう,"Feathers, Down, Plumage",冬//ふゆ//は羽毛布団//うもうぶとん//から出//で//られない。,"During winter, I can't get out of my down comforter.",,,,,,,,,,,,,,,,,,,,,,,,,,"う,は,ば,はね",,,,,,,,,,,,10
182,万,None,まん,ばん,None,一万円,いちまんえん,Ten thousand yen,一万円//いちまんえん//を貸//か//してくれますか？,Can you lend me ten thousand yen?,万が一,まんがいち,Just in case,万//まん//が一//いち//のために準備//じゅんび//します。,I will prepare just in case.,万全,ばんぜん,Perfection,万全//ばんぜん//の準備//じゅんび//をしました。,We prepared perfectly.,,,,,,,,,,,,,,,,"まん,みん,ばん,ま","まん,みん,ばん,ま","ばん,まん,ま,かん",,,,,,,,,,10
183,店,None,てん,None,None,売店,ばいてん,"Kiosk, Stand, Shop",駅//えき//の売店//ばいてん//でお土産//みやげ//を買//か//いました。,I bought a souvenir at the station kiosk.,店員//いん//,てんいん,Store clerk,店員//てんいん//に聞//き//きましょう。,Let’s ask the clerk.,,,,,,,,,,,,,,,,,,,,,"てん,せ,け,み","てん,せ,け,みせ",,,,,,,,,,,10
184,帰,None,き,None,None,帰国,きこく,"Return home, Repatriation",彼//かれ//は帰国//きこく//しました。,He returned to his country.,,,,,,,,,,,,,,,,,,,,,,,,,,"き,か,け,こ",,,,,,,,,,,,10
185,歌,None,か,None,None,歌手,かしゅ,Singer,将来//しょうらい//は歌手//かしゅ//になるのが夢//ゆめ//です。,My dream is to become a singer in the future.,国歌,こっか,National anthem,その試合//しあい//の前//まえ//には、国歌//こっか//が流//なが//れた。,The national anthem was played before the match.,校歌,こうか,"School song, School anthem",校歌//こうか//を覚//おぼ//えていますか？,Do you remember the school song?,,,,,,,,,,,,,,,,"か,が,かん,き","か,が,かん,き","か,が,かん,き",,,,,,,,,,10
186,岩,None,がん,None,None,岩石,がんせき,Rock,海岸//かいがん//に岩石//がんせき//があります。,There are rocks on the coast.,,,,,,,,,,,,,,,,,,,,,,,,,,"がん,せい,い,せき",,,,,,,,,,,,10
187,光,None,こう,None,None,日光,にっこう,Sunlight,日光//にっこう//を浴//あ//びました。,I bathed in sunlight.,光線,こうせん,"Light ray, Light beam",光線//こうせん//がまぶしいです。,The light ray is dazzling.,,,,,,,,,,,,,,,,,,,,,"こう,けい,き,せん","こう,き,か,こ",,,,,,,,,,,10
188,角,None,かく,None,None,三角,さんかく,Triangle,三角//さんかく//の形//かたち//を作//つく//ってください。,Please make a triangle.,四角,しかく,Square,四角//しかく//い箱//はこ//を見//み//つけました。,I found a square box.,角度//ど//,かくど,Angle,角度//かくど//を測//はか//ります。,I will measure the angle.,,,,,,,,,,,,,,,,"かく,か,き,かん","かく,か,き,かん","かく,らく,あつ,しゃく",,,,,,,,,,10
189,図,None,ず,と,None,地図,ちず,Map,地図//ちず//を持//も//っていますか？,Do you have a map?,図形,ずけい,Diagram,図形//ずけい//を描//か//いてください。,Please draw a diagram.,合図,あいず,Signal,合図//あいず//を送//おく//ります。,I will send a signal.,図書,としょ,Book,図書館//としょかん//で本//ほん//を借//か//りました。,I borrowed a book from the library.,,,,,,,,,,,"ず,つ,ぜ,と","ず,つ,ぜ,と","ず,つ,ぜ,と","と,つ,ぜ,ず",,,,,,,,,10
190,室,None,しつ,None,None,教室,きょうしつ,Classroom,教室//きょうしつ//で勉強//べんきょう//します。,I study in the classroom.,図書室,としょしつ,Library room,図書室//としょしつ//で本//ほん//を借//か//りました。,I borrowed a book in the library room.,和//わ//室,わしつ,Japanese-style room,今日//きょう//は和室//わしつ//に泊//と//まります。,"I will stay in a Japanese-style room today,",室内,しつない,Indoors,室内//しつない//での行事//ぎょうじ//なので、雨//あめ//が降//ふ//っても大丈夫//だいじょうぶ//。,"Since it's an indoor event, it's fine even if it rains.",,,,,,,,,,,"しつ,しゃ,せ,じ","しつ,じん,せ,じ","しつ,しゃ,さい,じ","しつ,しゃ,せ,じつ",,,,,,,,,10
191,太,None,たい,た,None,太陽//よう//,たいよう,Sun,太陽//たいよう//が昇//のぼ//りました。,The sun has risen.,太郎//ろう//,たろう,Taro,現代//げんだい//では赤//あか//ちゃんに「太郎//たろう//」と名付//なづ//ける人//ひと//は少//すく//ない。,"In modern times, few people name their babies ""Tarō.""",丸太,まるた,Log,丸太//まるた//を運//はこ//んでいます。,I am carrying a log.,,,,,,,,,,,,,,,,"たい,せ,しゃ,こう","た, せ, しゃ, こう","た, せ, しゃ, こう",,,,,,,,,,10
192,歩,「ふ」の読み方はあまり使わない,ほ,ふ,None,歩道,ほどう,Sidewalk,歩道//ほどう//を歩//ある//きましょう。,Let’s walk on the sidewalk.,散//さん//歩,さんぽ,"Stroll, A walk",公園//こうえん//を散歩//さんぽ//しました。,I took a stroll in the park.,歩行,ほこう,"Walking, Pedestrian",歩行者//ほこうしゃ//に気//き//をつけましょう。(This referes to moreso the act of walking.),Be careful of pedestrians.,,,,,,,,,,,,,,,,"ほ, ふ, ぶ, きん","ぽ,ほ,ぼ,ふ","ほ, ふ, ぶ, きん",,,,,,,,,,10
193,風,「ふ」の読み方はあまり使わない。,ふう,ふ,None,風速//そく//,ふうそく,Wind speed,風速//ふうそく//が上//あ//がっています。,Wind speed is increasing.,台風,たいふう,Typhoon,台風//たいふう//が近//ちか//づいています。,A typhoon is approaching.,風景//けい//,ふうけい,Scenery,美//うつく//しい風景//ふうけい//を見//み//ました。,I saw beautiful scenery.,和風,わふう,Japanese style,和風//わふう//の部屋//へや//に泊//と//まります。,I will stay in a Japanese-style room.,,,,,,,,,,,"ふう,ぶう,う,ふ","ふう,ぶう,う,ふ","ふう,ぶう,う,ふ","ふう,ぶう,う,ふ",,,,,,,,,10
194,紙,None,し,None,None,新聞紙,しんぶんし,Newspaper paper,新聞紙//しんぶんし//を広//ひろ//げました。,I spread out the newspaper paper.,用紙,ようし,"Form, Sheet",用紙//ようし//に記入//きにゅう//してください。,Please fill out the form.,,,,,,,,,,,,,,,,,,,,,"し, じ, しゃ,じゃ","し, じ, しゃ,じゃ",,,,,,,,,,,10
195,星,None,せい,None,None,星座//ざ//,せいざ,Constellation,星座//せいざ//を覚//おぼ//えましょう。,Let’s learn constellations.,流//りゅう//星,りゅうせい,Shooting star,流星//りゅうせい//を見//み//つけました。,I found a shooting star.,火星,かせい,Mars,火星//かせい//に探査機//たんさき//が着陸//ちゃくりく//しました。,A rover landed on Mars.,,,,,,,,,,,,,,,,"せい,せ,ざ,ぜい","せい,せ,ざ,ぜい","せい,せ,か,ぜい",,,,,,,,,,10
196,黒,None,こく,None,None,黒板//ばん//,こくばん,Blackboard,黒板//こくばん//に書//か//いてください。,Please write on the blackboard.,暗//あん//黒,あんこく,Darkness,暗黒//あんこく//の世界//せかい//に迷//まよ//い込//こ//みました。,I got lost in a dark world.,,,,,,,,,,,,,,,,,,,,,"こく, おく, こ,ごく","こく, おく, こ,ごく","こく, おく, こ,ごく",,,,,,,,,,10
197,春,None,しゅん,None,None,春分,しゅんぶん,Spring equinox,春分//しゅんぶん//の日//ひ//は祝日//しゅくじつ//です。,The Spring equinox is a public holiday.,新春,しんしゅん,New year,新春//しんしゅん//のご挨拶//あいさつ//を申//もう//し上//あ//げます。,I wish you a happy new year.,立春,りっしゅん,Start of spring,立春//りっしゅん//は春//はる//の始//はじ//まりです。,Risshun marks the start of spring.,,,,,,,,,,,,,,,,"しゅん,じゅん,しゅう,じゅう","しゅん,じゅん,しゅう,しん","しゅん,じゅん,しゅう,しゅ",,,,,,,,,,10
198,毎,None,まい,None,None,毎日,まいにち,Every day,毎日//まいにち//勉強//べんきょう//しています。,I study every day.,毎週//しゅう//,まいしゅう,Every week,毎週//まいしゅう//、会議//かいぎ//があります。,There is a meeting every week.,毎年,まいとし ,Every year,毎年//まいとし//新//あたら//しい目標//もくひょう//を立//た//てます。,I set new goals every year.,毎回,まいかい,Every time,毎回//まいかい//遅刻//ちこく//しないでください。,Please don't be late every time.,,,,,,,,,,,"まい,あい,ま,あい","まい,あい,ま,あ","まい,あい,ま,あい","まい,あい,ま,あい",,,,,,,,,10
199,寺,None,じ,None,None,寺社,じしゃ,Temples and shrines,日本//にほん//の寺社//じしゃ//を巡//めぐ//りました。,I toured temples and shrines in Japan.,東大寺,とうだいじ,Todai-ji Temple,東大寺//とうだいじ//は有名//ゆうめい//な寺//てら//です。,Todai-ji is a famous temple.,,,,,,,,,,,,,,,,,,,,,"じ,じん,しゃ,じゃ","じ,じん,しゃ,じゃ",,,,,,,,,,,10
200,絵,None,かい,え,None,絵画,かいが,Painting,美//うつく//しい絵画//かいが//を見//み//ました。,I saw a beautiful painting.,絵本,えほん,Picture book,子供//こども//に絵本//えほん//を読//よ//み聞//き//かせます。,I read a picture book to my child.,絵馬,えま,Ema,絵馬//えま//に願//ねが//いを書//か//く。(Traditional wooden plaque used in Shinto and Budhist Temples.),Write a wish on an ema.,油絵,あぶらえ,Oil painting,油絵//あぶらえ//のクラスに参加//さんか//しました。,I joined an oil painting class.,,,,,,,,,,,"かい,え,がい,か","え,えい,か,かい","え,えい,か,かい","え,えい,か,かい",,,,,,,,,10
201,刀,None,とう,None,None,日本刀,にほんとう,Japanese sword,日本刀//にほんとう//は美//うつく//しい芸術//げいじゅつ//品//ひん//です。,The Japanese sword is a beautiful work of art.,,,,,,,,,,,,,,,,,,,,,,,,,,"とう, けん, とお, かたな",,,,,,,,,,,,11
202,弓,None,きゅう,None,None,弓道,きゅうどう,Archery,彼//かれ//は弓道//きゅうどう//を練習//れんしゅう//しています。,He practices archery.,,,,,,,,,,,,,,,,,,,,,,,,,,"きゅう, へい, きょう, ゆみ",,,,,,,,,,,,11
203,色,None,しょく,しき,None,原色,げんしょく,Primary colors,この絵//え//には明//あか//るい原色//げんしょく//がたくさん使//つか//われています。,This painting uses many bright primary colors.,色紙,しきし,"Decorative Card, Colored Paper",大谷//おおたに//さんが色紙//しきし//にサインをしてくれた。やった！(This is like an autograph book type vibe.),Ohtani signed the colored paper for me. Yay!,,,,,,,,,,,,,,,,,,,,,"しょく, しき, いろ, しく","しき, しょ, け, さい",,,,,,,,,,,11
204,走,None,そう,None,None,走行,そうこう,"Running, traveling",車//くるま//の走行//そうこう//距離//きょり//がかなり長//なが//いです。,The car has traveled a considerable distance.,,,,,,,,,,,,,,,,,,,,,,,,,,"そう, きょ, はん, しょう",,,,,,,,,,,,11
205,秋,None,しゅう,None,None,秋分,しゅうぶん,Fall equinox,秋分//しゅうぶん//の日//ひ//は日本//にほん//の祝日//しゅくじつ//です。(Holiday in Japan),The autumnal equinox is a holiday in Japan.,秋季//き//,しゅうき,Autumn season,"秋季//しゅうき//大会//たいかい//が来週//らいしゅう//始//はじ//まります。(Used a lot in written reports, think news about sports)",The autumn tournament starts next week.,,,,,,,,,,,,,,,,,,,,,"しゅう, しゅ, しょ, しっ","しゅう, しゅ, そう, しょう",,,,,,,,,,,11
206,夏,None,か,None,None,初//しょ//夏,しょか,Early summer,初夏//しょか//にはカラフルな花//はな//が咲//さ//きます。,Colorful flowers bloom in early summer.,夏季//き//,かき,Summer season,"夏季//かき//のオリンピックが来年//らいねん//開催//かいさい//されます。(Again, think written reports about summer. Sports etc..)",The summer Olympics will be held next year.,,,,,,,,,,,,,,,,,,,,,"か, が, しょ, け","か, かん, なつ, げ",,,,,,,,,,,11
207,汽,None,き,None,None,汽車,きしゃ,Steam train,昔//むかし//は汽車//きしゃ//が主要//しゅよう//な交通//こうつう//手段//しゅだん//でした。,"In the past, steam trains were a primary means of transportation.",,,,,,,,,,,,,,,,,,,,,,,,,,"き, か, きか, きい",,,,,,,,,,,,11
208,顔,None,がん,None,None,顔面//めん//,がんめん,Face,ボールが彼//かれ//の顔面//がんめん//に当//あ//たりました,The ball hit him directly in the face.,,,,,,,,,,,,,,,,,,,,,,,,,,"がん, え, かお, が",,,,,,,,,,,,11
209,古,None,こ,None,None,中古,ちゅうこ,"Second-hand, Used",中古//ちゅうこ//車//しゃ//を買//か//いました。,I bought a used car.,,,,,,,,,,,,,,,,,,,,,,,,,,"こ, け, ご, ごう",,,,,,,,,,,,11
210,晴,None,せい,None,None,晴天,せいてん,Clear sky,今日//きょう//の天気//てんき//は晴天//せいてん//です。,The weather today is clear.,,,,,,,,,,,,,,,,,,,,,,,,,,"せい, はれ, さい, かい",,,,,,,,,,,,11
211,買,None,ばい,None,None,売買,ばいばい,Trade,売買//ばいばい//が成立//せいりつ//しました。,The trade was completed.,,,,,,,,,,,,,,,,,,,,,,,,,,"ばい, こう, ば, はい",,,,,,,,,,,,11
212,週,None,しゅう,None,None,週間,しゅうかん,Week span,一週間//いっしゅうかん//は早//はや//いです。,One week goes by quickly.,毎週,まいしゅう,Every week,毎週//まいしゅう//サッカーをします。,I play soccer every week.,今週,こんしゅう,This week,今週//こんしゅう//は雨//あめ//が多//おお//い予報//よほう//です。,This week is forecasted to have a lot of rain.,来週,らいしゅう,Next week,来週//らいしゅう//は大切//たいせつ//な会議//かいぎ//があります。,There is an important meeting next week.,,,,,,,,,,,"しゅう, ま, じゅう, しゅ","しゅう, すう, じゅう, しゅ","しゅう, じょう, じゅう, しゅ","しゅう, じょう, じゅう, しゅ",,,,,,,,,11
213,雪,None,せつ,None,None,新雪,しんせつ,Fresh snow,スキー場//じょう//には新雪//しんせつ//が積//つ//もっています。,Fresh snow has piled up at the ski resort.,,,,,,,,,,,,,,,,,,,,,,,,,,"せつ, ゆき, せっ, さつ","せつ, ゆき, せっ, さつ",,,,,,,,,,,11
214,父,None,ふ,None,None,父母//ば//,ふぼ,Parents,父母//ふぼ//の会//かい//では学校//がっこう//の計画//けいかく//が話//はな//し合//あ//われました。,"At the parents' meeting, the school's plans were discussed.",,,,,,,,,,,,,,,,,,,,,,,,,,"ふ, そ, い, せい",,,,,,,,,,,,11
215,母,None,ぼ,None,None,母校,ぼこう,Alma mater,母校//ぼこう//を訪問//ほうもん//しました。,I visited my alma mater.,母語,ぼご,Native language,母語//ぼご//を忘//わす//れません。,I won't forget my native language.,母音,ぼいん,Vowel,母音//ぼいん//を練習//れんしゅう//します。,I practice vowels.,,,,,,,,,,,,,,,,"ぼ, ほ, そ, ほぼ","ぼ, はは, ぶ, ほ","ぼ, ほ, ふ, ほぼ",,,,,,,,,,11
216,兄,None,けい,きょう,None,兄弟//だい//,きょうだい,Brothers,兄弟//きょうだい//で旅行//りょこう//しました。,We traveled as brothers.,父兄,ふけい,"Guardian, Parents, Older Siblings",学校//がっこう//のイベントには多//おお//くの父兄//ふけい//が参加//さんか//しました。,Many guardians attended the school event.,,,,,,,,,,,,,,,,,,,,,"きょう,げい,あに,きょ","けい,げい,け,げ",,,,,,,,,,,11
217,姉,None,し,None,None,姉妹//まい//,しまい,Sisters,私//わたし//たちは姉妹//しまい//です。,We are sisters.,,,,,,,,,,,,,,,,,,,,,,,,,,"し, じ, しゃ,じゃ",,,,,,,,,,,,11
218,弟,None,だい,てい,で,兄弟,きょうだい,Brothers,私//わたし//たちは兄弟//きょうだい//です。,We are brothers.,師//し//弟,してい,Mentor Relationship,彼//かれ//らは深//ふか//い師弟//してい//関係//かんけい//が結//むす//ばれています。(Highlights the bond between mentor and mentee),They share a deep mentor-student relationship.,弟子,でし,Disciple,彼//かれ//は弟子//でし//をとりました。,He took on a disciple.,,,,,,,,,,,,,,,,"だい, で, て, でん,","てい, て, だい, で","で, て, でん, だい",,,,,,,,,,11
219,妹,None,まい,None,None,姉妹,しまい,Sisters,あの姉妹//しまい//はとても似//に//ている。,The sisters look very similar to each other.,,,,,,,,,,,,,,,,,,,,,,,,,,"まい, あい, ま, まん",,,,,,,,,,,,11
220,毛,None,もう,None,None,体毛,たいもう,Body hair,体毛//たいもう//が濃//こ//いのが気//き//になる。,I am concerned about having thick body hair.,毛布//ふ//,もうふ,Blanket,寒//さむ//い日//ひ//は毛布//もうふ//が必要//ひつよう//です。,A blanket is necessary on cold days.,,,,,,,,,,,,,,,,,,,,,"もう, け, よう, も","もう, よう, け, も",,,,,,,,,,,11
221,読,None,どく,None,None,読者//しゃ//,どくしゃ,Reader,読者//どくしゃ//はマンガに対//たい//するアンケートに答//こた//えました。,The readers answered a survey about manga.,音読,おんどく,Reading aloud,子供//こども//たちは毎日//まいにち//、国語//こくご//の教科書//きょうかしょ//を音読//おんどく//します。,The children read their Japanese textbook aloud every day.,一読,いちどく,A quick read,この本//ほん//は一読//いちどく//する価値//かち//がありますよ。,This book is worth a quick read.,,,,,,,,,,,,,,,,"どく, ろう, とう, ど","どく, とく, と, ど","どく, よん, よう, ど",,,,,,,,,,12
222,黄,None,おう,こう,None,黄金,おうごん,Gold,黄金//おうごん//のリングを持//も//っています。,I have a gold ring.,,,,,,,,,,,,,,,,,,,,,,,,,,"おう, こう, き, かん",,,,,,,,,,,,12
223,池,None,ち,None,None,電池,でんち,Battery,電池//でんち//が切//き//れました。,The battery ran out.,,,,,,,,,,,,,,,,,,,,,,,,,,"ち, じ, ちょ, とう",,,,,,,,,,,,12
224,友,None,ゆう,None,None,友人,ゆうじん,Friend,友人//ゆうじん//と遊//あそ//びに行//い//きました。,I went out with a friend.,親友,しんゆう,Close friend,彼//かれ//は私//わたし//の親友//しんゆう//です。,He is my close friend.,,,,,,,,,,,,,,,,,,,,,"ゆう, しん, ふう, ゆ","ゆう, しん, ふう, ゆ",,,,,,,,,,,12
225,雲,None,うん,None,None,雲海,うんかい,Sea of clouds,山//やま//から雲海//うんかい//が見//み//えました。,I saw a sea of clouds from the mountain.,,,,,,,,,,,,,,,,,,,,,,,,,,"うん, せき, くも, ぶん",,,,,,,,,,,,12
226,鳴,None,めい,None,None,悲//ひ//鳴,ひめい,"Scream, shriek",家//いえ//の外//そと//で悲鳴//ひめい//が聞//き//こえた。,A scream was heard outside the house.,,,,,,,,,,,,,,,,,,,,,,,,,,"めい, きょう, め, ぬ",,,,,,,,,,,,12
227,遠,None,えん,None,None,遠足,えんそく,"Excursion, School trip",遠足//えんそく//にはおやつが欠//か//かせない。,Snacks are essential on an excursion.,遠近,えんきん,Perspective,黄色//きいろ//と黒//くろ//のロープは遠近感//えんきんかん//が取//と//りづらい。,Yellow and black ropes make it hard to judge perspective.,,,,,,,,,,,,,,,,,,,,,"えん, おん, えい, そ","えん, そ, えい, え",,,,,,,,,,,12
228,曜,None,よう,None,None,曜日,ようび,Day of the week,今日//きょう//は何曜日//なんようび//ですか？,What day of the week is it?,,,,,,,,,,,,,,,,,,,,,,,,,,"よう, か, しゅう, よ",,,,,,,,,,,,12
229,弱,None,じゃく,None,None,弱点,じゃくてん,Weak point,彼//かれ//の弱点//じゃくてん//を知//し//っています。,I know his weak point.,弱小,じゃくしょう,"Weak and Small, Underdog",弱小//じゃくしょう//チームが勝//か//ちました。(Think like the underdog team or struggling entity) ,The weak team won.,強弱,きょうじゃく,"Degree of Power, Emphasis",このロボットの力//ちから//には強//きょう//弱//じゃく//がある。,This robot's strength has variations.,弱者,じゃくしゃ,Weak person,社会//しゃかい//では弱者//じゃくしゃ//への支援//しえん//が必要//ひつよう//です。,"In society, support for the weak is necessary.",,,,,,,,,,,"じゃく, きょう, しゃく, しょう","じゃく, せき, しょう, じゃ,","じゃく, きょう, ひゃく, しょう","じゃく, しゃく, しょう, ひゃく",,,,,,,,,12
230,肉,None,にく,None,None,お肉,おにく,Meat,お肉//にく//は塩//しお//だけで食//た//べるのが一番//いちばん//好//す//きだ。,I like eating beef with just salt the most.,肉体,にくたい,Physical body,彼//かれ//は肉体//にくたい//を鍛//きた//えるために毎日//まいにち//運動//うんどう//します。,He exercises daily to strengthen his body.,,,,,,,,,,,,,,,,,,,,,"にく, に, ぶた, たい","にく, うち, ない, とん",,,,,,,,,,,12
231,才,None,さい,None,None,天才,てんさい,Genius,彼//かれ//は数学//すうがく//の天才//てんさい//です。,He is a genius in math.,多才,たさい,Versatile,彼//かれ//は多才//たさい//な人//ひと//です。,He is a versatile person.,,,,,,,,,,,,,,,,,,,,,"さい, ざい, さ, てん","さい, ざい, さ, さん",,,,,,,,,,,12
232,鳥,None,ちょう,None,None,白鳥,はくちょう,Swan,湖//みずうみ//に白鳥//はくちょう//が泳//およ//いでいます。,Swans are swimming in the lake.,野鳥,やちょう,Wild bird,野鳥//やちょう//を観察//かんさつ//しました。,I observed wild birds.,,,,,,,,,,,,,,,,,,,,,"ちょう, とり, はく, ちょ","ちょう, とり, はく, や",,,,,,,,,,,12
233,麦,None,ばく,None,None,麦芽//が//,ばくが,Malt,ビールには麦芽//ばくが//が使//つか//われます。,Malt is used in beer.,,,,,,,,,,,,,,,,,,,,,,,,,,"ばく, こ, むぎ, おお",,,,,,,,,,,,12
234,冬,None,とう,None,None,冬季//き//,とうき,"Winter, Winter season",冬季//とうき//オリンピックを見//み//ます。,I watch the Winter Olympics.,,,,,,,,,,,,,,,,,,,,,,,,,,"とう, じ, ま, き",,,,,,,,,,,,12
235,昼,None,ちゅう,None,None,昼食,ちゅうしょく,Lunch,昼//ちゅう//食//しょく//を食//た//べました。,I ate lunch.,,,,,,,,,,,,,,,,,,,,,,,,,,"ちゅう, ちゅ, じゅ, しゅう",,,,,,,,,,,,12
236,茶,None,ちゃ,さ,None,お茶,おちゃ,Tea,お茶//ちゃ//を飲//の//みました。,I drank tea.,茶道,さどう,Tea ceremony,茶道//さどう//を習//なら//っています。,I am learning tea ceremony.,,,,,,,,,,,,,,,,,,,,,"ちゃ, じゃ, さ, ざ","さ, ちゃ, じゃ,ざ",,,,,,,,,,,12
