kanjiID,kanji,authorsNote,kunyomiReadingOne,kunyomiReadingTwo,kunyomiReadingThree,kunyomiVocabWordOne,kunyomiVocabWordReadingOne,kunyomiVocabWordMeaningOne,kunyomiSampleSentenceOne,kunyomiSampleSentenceMeaningOne,kunyomiVocabWordTwo,kunyomiVocabWordReadingTwo,kunyomiVocabWordMeaningTwo,kunyomiSampleSentenceTwo,kunyomiSampleSentenceMeaningTwo,kunyomiVocabWordThree,kunyomiVocabWordReadingThree,kunyomiVocabWordMeaningThree,kunyomiSampleSentenceThree,kunyomiSampleSentenceMeaningThree,kunyomiVocabWordFour,kunyomiVocabWordReadingFour,kunyomiVocabWordMeaningFour,kunyomiSampleSentenceFour,kunyomiSampleSentenceMeaningFour,kunyomiVocabWordFive,kunyomiVocabWordReadingFive,kunyomiVocabWordMeaningFive,kunyomiSampleSentenceFive,kunyomiSampleSentenceMeaningFive,kunyomiVocabWordSix,kunyomiVocabWordReadingSix,kunyomiVocabWordMeaningSix,kunyomiSampleSentenceSix,kunyomiSampleSentenceMeaningSix,kunyomiMultipleChoiceReadingOne,kunyomiMultipleChoiceReadingTwo,kunyomiMultipleChoiceReadingThree,kunyomiMultipleChoiceReadingFour,kunyomiMultipleChoiceReadingFive,kunyomiMultipleChoiceReadingSix,furiganaKunyomiSampleSentenceOne,furiganaKunyomiSampleSentenceTwo,furiganaKunyomiSampleSentenceThree,furiganaKunyomiSampleSentenceFour,furiganaKunyomiSampleSentenceFive,furiganaKunyomiSampleSentenceSix,associatedLevel
122,原,None,はら,None,None,原っぱ,はらっぱ,"Field, Open field",子供たちが原っぱで遊んでいる。,The children are playing in the open field.,,,,,,,,,,,,,,,,,,,,,,,,,,"はら,げん,ぱら,ばら",,,,,,"[{'子供': 'こども'}, {'原': 'はら'}, {'遊': 'あそ'}]",,,,,,7
123,交,None,まじ,ま,None,交わる,まじわる,"To intersect, To cross",二つの線が交わる点を見つけてください。,Please find the point where the two lines intersect.,,,,,,,,,,,,,,,,,,,,,,,,,,"まじ,ま,こう,ごう",,,,,,"[{'二': 'ふた'}, {'線': 'せん'}, {'交': 'まじ'}, {'点': 'てん'}, {'見': 'み'}]",,,,,,7
124,野,None,の,None,None,野,の,"Field, Plain",野に咲く、花のように風に吹かれる。,Swaying in the wind like a flower blooming in the field.,野原,のはら,"Field, Meadow",野原で動物たちが草を食べている。,The animals are grazing in the meadow.,,,,,,,,,,,,,,,,,,,,,"の,や,な,ま","の,や,ぬ,ね",,,,,"[{'野': 'の'}, {'咲': 'さ'}, {'花': 'はな'}, {'風': 'かぜ'}, {'吹': 'ふ'}]","[{'野原': 'のはら'}, {'動物': 'どうぶつ'}, {'草': 'くさ'}, {'食': 'た'}]",,,,,7
125,考,None,かんが,None,None,考える,かんがえる,"To think, To consider",新しいアイディアを考えるのが楽しいです。,It's fun to think of new ideas.,,,,,,,,,,,,,,,,,,,,,,,,,,"かんが,あ,たくわ,まじ",,,,,,"[{'新': 'あたら'}, {'考': 'かんが'}, {'楽': 'たの'}]",,,,,,7
126,思,None,おも,None,None,思う,おもう,"To think, To feel",それは良いアイディアだと思います。,I think that's a good idea.,思い出,おもいで,"Memory, Reminiscence",家族と過ごした時間はすべてが思い出です。,All the time I spent with my family is a memory.,,,,,,,,,,,,,,,,,,,,,"おも,いも,かも,たも","おも,ひ,か,お",,,,,"[{'良': 'よ'}, {'思': 'おも'}]","[{'家族': 'かぞく'}, {'過': 'す'}, {'時間': 'じかん'}, {'思': 'おも'}, {'出': 'で'}]",,,,,7
127,家,None,いえ,や,None,家,いえ,"House, Home, Family",私の家は、駅の近くにあります。,My house is near the station.,家賃//ちん//,やちん,Rent,このアパートの家賃はいくらですか？,How much is the rent for this apartment?,,,,,,,,,,,,,,,,,,,,,"いえ,や,か,うえ","や,か,いえ,うえ",,,,,"[{'私': 'わたし'}, {'家': 'いえ'}, {'駅': 'えき'}, {'近': 'ちか'}]",[{'家賃': 'やちん'}],,,,,7
128,組,None,く,くみ,None,組む,くむ,"To team up, To collaborate",彼とプロジェクトを組むことにしました。,I decided to team up with him for the project.,組,くみ,"Group, Set",彼女は私と同じ組に入っています。,She is in the same group as me.,,,,,,,,,,,,,,,,,,,,,"く,け,こ,か","くみ,く,そ,し",,,,,"[{'彼': 'かれ'}, {'組': 'く'}]","[{'彼女': 'かのじょ'}, {'私': 'わたし'}, {'同': 'おな'}, {'組': 'くみ'}, {'入': 'はい'}]",,,,,7
129,来,None,く,き,None,来る,くる,To come,友達が家に来る予定です。,My friend is coming to my house.,来て,きて,Come,明日、私の家に来てください。,Please come to my house tomorrow.,行き来,いきき,"Coming and going, Back and forth",人々が忙しそうに行き来している。,People are coming and going busily.,,,,,,,,,,,,,,,,"く,き,か,こ","き,く,か,こ","き,らい,か,こ",,,,"[{'友達': 'ともだち'}, {'家': 'いえ'}, {'来': 'く'}, {'予定': 'よてい'}]","[{'明日': 'あした'}, {'私': 'わたし'}, {'家': 'いえ'}, {'来': 'き'}]","[{'人々': 'ひとびと'}, {'忙': 'いそが'}, {'行': 'い'}, {'来': 'き'}]",,,,7
130,心,None,こころ,None,None,心,こころ,"Heart, Mind",彼の言葉が私の心に響いた。,His words resonated in my heart.,,,,,,,,,,,,,,,,,,,,,,,,,,"こころ,しん,こ,この",,,,,,"[{'彼': 'かれ'}, {'言葉': 'ことば'}, {'私': 'わたし'}, {'心': 'こころ'}, {'響': 'ひび'}]",,,,,,7
131,直,None,なお,ただ,None,直す,なおす,"To fix, To repair",パソコンを自分で直してみます。,I'll try to repair the computer myself.,直ちに,ただちに,"Immediately, At once",事故が発生したら直ちに知らせてください。,Please inform me immediately if an accident occurs.,,,,,,,,,,,,,,,,,,,,,"なお,ただ,すぐ,じき","ただ,なお,せい,しん",,,,,"[{'自分': 'じぶん'}, {'直': 'なお'}]","[{'事故': 'じこ'}, {'発生': 'はっせい'}, {'直': 'ただ'}, {'知': 'し'}]",,,,,7
132,教,None,おし,おそ,None,教える,おしえる,"To teach, To instruct",先生が学生に数学を教えました。,The teacher taught math to the students.,教わる,おそわる,"To be taught, To learn from someone",母から料理の作り方を教わりました。,I learned how to cook from my mother.,,,,,,,,,,,,,,,,,,,,,"おし,おつ,あん,うん","おそ,おち,じょ,しょ",,,,,"[{'先生': 'せんせい'}, {'学生': 'がくせい'}, {'数学': 'すうがく'}, {'教': 'おし'}]","[{'母': 'はは'}, {'料理': 'りょうり'}, {'作': 'つく'}, {'方': 'かた'}, {'教': 'おそ'}]",,,,,7
133,話,None,はな,はなし,None,話す,はなす,"To speak, To talk",友達と楽しく話しました。,I had a fun conversation with my friend.,話し合う,はなしあう,"To discuss, To talk over",家族と今後のことを話し合いました。,I discussed the future with my family.,話,はなし,"Story, Conversation",その話をもう一度聞かせてください。,Please tell me that story again.,,,,,,,,,,,,,,,,"はな,はる,かな,ふな","はな,ひな,ほな,ばな","はなし,はなく,せつ,たべ",,,,"[{'友達': 'ともだち'}, {'楽': 'たの'}, {'話': 'はな'}]","[{'家族': 'かぞく'}, {'今後': 'こんご'}, {'話': 'はな'}, {'合': 'あ'}]","[{'話': 'はなし'}, {'一度': 'いちど'}, {'聞': 'き'}]",,,,7
134,多,None,おお,None,None,多い,おおい,"Many, much",人が多いですね。,"There are many people, aren't there?",多め,おおめ,"A bit more, extra",少し多めに作りました。,I made a bit more.,多く,おおく,"Many, numerous",多くの国を訪れた。,I visited many countries.,,,,,,,,,,,,,,,,"おお,おく,おい,ああ","おお,おく,おい,ああ","おお,あく,おい,ああ",,,,"[{'人': 'ひと'}, {'多': 'おお'}]","[{'少': 'すこ'}, {'多': 'おお'}, {'作': 'つく'}]","[{'多': 'おお'}, {'国': 'くに'}, {'訪': 'おとず'}]",,,,7
135,元,None,もと,None,None,元々,もともと,Originally,彼は元々医者でした。,He was originally a doctor.,地元,じもと,Hometown,地元に戻りたいです。,I want to return to my hometown.,,,,,,,,,,,,,,,,,,,,,"もと, もち, まつ,げん","もと, もち, げん,けん",,,,,"[{'彼': 'かれ'}, {'元々': 'もともと'}, {'医者': 'いしゃ'}]","[{'地': 'じ'}, {'元': 'もと'}, {'戻': 'もど'}]",,,,,7
136,近,None,ちか,None,None,近い,ちかい,Near,家は駅に近いです。,My house is near the station.,近づく,ちかづく,To approach,犬が近づいてきた。,The dog approached.,近寄//よ//る,ちかよる,To come near,子供が近寄ってきた。,The child came near.,身//み//近,みぢか,Familiar,身近な人と話す。,Talk to familiar people.,,,,,,,,,,,"ちか,きん,けん,あか","ちか,きん,けん,じか","ちか,きん,けん,あか","ぢか,ちか,けん,きん",,,"[{'家': 'いえ'}, {'駅': 'えき'}, {'近': 'ちか'}]","[{'犬': 'いぬ'}, {'近': 'ちか'}]","[{'子供': 'こども'}, {'近寄': 'ちかよ'}]","[{'身近': 'みぢか'}, {'人': 'ひと'}, {'話': 'はな'}]",,,7
137,画,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
138,海,None,うみ,None,None,海,うみ,"Sea, Ocean",海が見えます。,I can see the sea.,,,,,,,,,,,,,,,,,,,,,,,,,,"うみ, あみ, おみ,なみ",,,,,,"[{'海': 'うみ'}, {'見': 'み'}]",,,,,,7
139,売,None,う,None,None,売る,うる,To sell,本を売りました。,I sold the book.,売れる,うれる,To be sold,新しい商品がよく売れる。,The new product sells well.,売り場,うりば,Sales counter,売り場はどこですか?,Where is the sales counter?,売り切//き//れ,うりきれ,Sold out,商品が売り切れた。,The product is sold out.,,,,,,,,,,,"う, あ, お,す","う, あ, お,す","う, あ, お,す","う, あ, お,す",,,"[{'本': 'ほん'}, {'売': 'う'}]","[{'新': 'あたら'}, {'商品': 'しょうひん'}, {'売': 'う'}]","[{'売': 'う'}, {'場': 'ば'}]","[{'商品': 'しょうひん'}, {'売': 'う'}, {'切': 'き'}]",,,7
140,北,None,きた,None,None,北,きた,North,北へ行きましょう。,Let's go north.,北国,きたぐに,Northern country,北国の冬は寒いです。,Winters in the north are cold.,,,,,,,,,,,,,,,,,,,,,"きた, きつ, き,きち","きた, きつ, き,ほく",,,,,"[{'北': 'きた'}, {'行': 'い'}]","[{'北国': 'きたぐに'}, {'冬': 'ふゆ'}, {'寒': 'さむ'}]",,,,,7
141,知,None,し,None,None,知る,しる,To know,彼を知っていますか?,Do you know him?,知らせる,しらせる,To inform,友達に知らせた。,I informed my friend.,知り合う,しりあう,To get acquainted,新しい人と知り合った。,I met a new person.,,,,,,,,,,,,,,,,"し,ち,じ,せん","し,ち,じ,せん","し,ち,じ,せん",,,,"[{'彼': 'かれ'}, {'知': 'し'}]","[{'友達': 'ともだち'}, {'知': 'し'}]","[{'新': 'あたら'}, {'人': 'ひと'}, {'知': 'し'}, {'合': 'あ'}]",,,,8
142,午,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
143,引,None,ひ,None,None,引く,ひく,To pull,ドアを引いてください。,Please pull the door.,気が引ける,きがひける,"Shy, Awkward",自分だけ休むのは気が引ける。,I don't feel comfortable taking a break by myself.,引き出す,ひきだす,To withdraw,お金を引き出した。,I withdrew money.,引き分け,ひきわけ,"Draw,Tie",試合は引き分けだった。,The match was a draw.,,,,,,,,,,,"ひ,い,えん,しゅう","ひ,い,えん,いん","ひ,い,えん,しゅう","ひ,い,えん,いん",,,[{'引': 'ひ'}],"[{'自分': 'じぶん'}, {'休': 'やす'}, {'気': 'き'}, {'引': 'ひ'}]","[{'金': 'かね'}, {'引': 'ひ'}, {'出': 'だ'}]","[{'試合': 'しあい'}, {'引': 'ひ'}, {'分': 'わ'}]",,,8
144,書,None,か,None,None,書く,かく,To write,手紙を書きます。,I will write a letter.,書き方,かきかた,Way of writing,書き方を教えてください。,Please teach me how to write.,書き直す,かきなおす,To rewrite,間違いを書き直した。,I rewrote it after correcting mistakes.,,,,,,,,,,,,,,,,"か,しょ,もん,つう","か,しょ,もん,じょ","か,しょ,き,つう",,,,"[{'手紙': 'てがみ'}, {'書': 'か'}]","[{'書': 'か'}, {'方': 'かた'}, {'教': 'おし'}]","[{'間違': 'まちが'}, {'書': 'か'}, {'直': 'なお'}]",,,,8
145,計,None,はか,None,None,計る,はかる,To measure,長さを計ります。,I will measure the length.,計らう,はからう,To arrange,先生がすべてを計らってくれました。,The teacher arranged everything.,,,,,,,,,,,,,,,,,,,,,"はか,けい,かん,たく","はか,きょう,あく,えつ",,,,,"[{'長': 'なが'}, {'計': 'はか'}]","[{'先生': 'せんせい'}, {'計': 'はか'}]",,,,,8
146,番,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
147,算,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
148,線,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
149,台,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
150,広,None,ひろ,None,None,広い,ひろい,Wide,広い部屋があります。,There is a wide room.,広がる,ひろがる,To spread,火が広がっている。,The fire is spreading.,広げる,ひろげる,To expand,地図を広げた。,I spread out the map.,広まる,ひろまる,To become widespread,噂が広まった。,The rumor spread.,,,,,,,,,,,"ひろ,こう,はん,たん","ひろ,こう,はん,たん","ひろ,こう,はん,たん","ひろ,こう,はん,はか",,,"[{'広': 'ひろ'}, {'部屋': 'へや'}]","[{'火': 'ひ'}, {'広': 'ひろ'}]","[{'地図': 'ちず'}, {'広': 'ひろ'}]","[{'噂': 'うわさ'}, {'広': 'ひろ'}]",,,8
151,道,None,みち,None,None,道,みち,"Road, path",この道を進んでください。,Please go down this road.,道しるべ,みちしるべ,Signpost,道しるべに従った。,I followed the signpost.,道のり,みちのり,"Journey, distance",長い道のりです。,It's a long journey.,近道,ちかみち,Shortcut,学校までの近道を知っていますか？,Do you know a shortcut to the school?,,,,,,,,,,,"みち,どう,じ,とう","みち,どう,かち,まち","みち,どう,かち,まち","みち,どう,かち,まち",,,"[{'道': 'みち'}, {'進': 'すす'}]","[{'道': 'みち'}, {'従': 'したが'}]","[{'長': 'なが'}, {'道': 'みち'}]","[{'学校': 'がっこう'}, {'近道': 'ちかみち'}, {'知': 'し'}]",,,8
152,形,None,かたち,かた,None,形,かたち,Shape,この形//かたち//が気//き//に入//い//っています。,I like this shape.,形見,かたみ,Keepsake,彼//かれ//からの形見//かたみ//を大切//たいせつ//にしています。,I cherish his keepsake.,,,,,,,,,,,,,,,,,,,,,"かたち,がた,けい,き","かた, がたち,ち,かつ",,,,,,,,,,,8
153,半,None,なか,None,None,半ば,なかば,Halfway,仕事//しごと//の半//なか//ばで休憩//きゅうけい//しました。,I took a break in the middle of my work.,,,,,,,,,,,,,,,,,,,,,,,,,,"なか, ま, け, せ",,,,,,,,,,,,8
154,工,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
155,止,None,と,や,とど,止まる,とまる,Stop,車//くるま//が止//と//まりました。,The car stopped.,止める,とめる,To stop,音楽//おんがく//を止//と//めてください。,Please stop the music.,止めて,やめて,Stop,試験//しけん//を止//や//めてください。,Please stop the exam.,止む,やむ,To stop,午後//ごご//には雨//あめ//が止//や//むでしょう,The rain will likely stop in the afternoon.,,,,,,,,,,,"と, ま, せ, き","と, ま, せ, き","や,と,し,か","や,と,し,か",,,,,,,,,8
156,切,None,き,None,None,切る,きる,To cut,ハサミで紙//かみ//を切//き//ります。,I cut paper with scissors.,切れる,きれる,To be cut,このナイフはよく切//き//れます。,This knife cuts well.,,,,,,,,,,,,,,,,,,,,,"き, けい, さ, さい","き,わ,せ,さい",,,,,,,,,,,8
157,谷,None,たに,None,None,谷,たに,Valley,人生//じんせい//は山//やま//あり谷//たに//ありです。,Life has its ups and downs.,谷間,たにま,Valley floor,思//おも//わず胸//むね//の谷間//たにま//に目//め//がいってしまう。(uhhhhhhhhh lmao),"Without thinking, my eyes were drawn to the cleavage.",,,,,,,,,,,,,,,,,,,,,"たに,こけ,け,き","たに,や,せい,ご",,,,,,,,,,,8
158,電,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
159,西,None,にし,None,None,西,にし,West,西//にし//から台風//たいふう//がやってくる,A typhoon is coming from the west.,西日,にしび,Setting sun,西日//にしび//が差//さ//し込//こ//んでいます。,The setting sun is shining in.,,,,,,,,,,,,,,,,,,,,,"にし, きん, せい, ま","にし,かい,せ,さい",,,,,,,,,,,8
160,細,None,ほそ,こま,None,細い,ほそい,Thin,細//ほそ//い道//みち//を歩//ある//いています。,I am walking on a narrow path.,細かい,こまかい,Detailed,細//こま//かい説明//せつめい//が必要//ひつよう//です。,,細長い,ほそながい,Long and thin,日本語//にほんご//では細長//ほそなが//い物//もの//は一本//いっぽん//、二本//にほん//と数//かぞ//えます。,"In Japanese, long, slender objects are counted as ""ippon,"" ""nihon,"" and so on.",,,,,,,,,,,,,,,,"ほそ, さ, け, し","こま,ほそ,しゃ,き","ほそ,しゃ,ご,さい",,,,,,,,,,8
161,丸,None,まる,None,None,丸い,まるい,Round,丸//まる//い石//いし//を見//み//つけました。,I found a round stone.,丸める,まるめる,To roll,紙//かみ//を丸//まる//めて捨//す//てました。,I crumpled up the paper and threw it away.,丸太//た//,まるた,Log,丸太//まるた//を運//はこ//んでいます。,I am carrying a log.,,,,,,,,,,,,,,,,"まる, た, け, し","まる,しゃ,き,がん","まる, けい,ご, たる",,,,,,,,,,9
162,里,None,さと,None,None,里帰//がえ//り,さとがえり,"Homecoming, To return home",正月//しょうがつ//に里帰//さとがえ//りします。,I will return home for New Year’s.,,,,,,,,,,,,,,,,,,,,,,,,,,"さと,し,き,ざと",,,,,,,,,,,,9
163,楽,None,たの,None,None,楽しい,たのしい,Fun,楽//たの//しい時間//じかん//を過//す//ごしました。,I had a great time.,楽しむ,たのしむ,To enjoy,彼//かれ//は映画//えいが//を楽//たの//しんでいます。,He is enjoying the movie.,,,,,,,,,,,,,,,,,,,,,"たの,おん,しん,らく","たの,ご,しゃ,らく",,,,,,,,,,,9
164,少,None,すく,すこ,None,少ない,すくない,Few,人//ひと//が少//すく//ないです。,There are few people.,少し,すこし,A little,少//すこ//しだけ時間//じかん//があります。,I have a little time.,,,,,,,,,,,,,,,,,,,,,"すく,しん,せ,しょう","すこ,しゃ,さ,しょう",,,,,,,,,,,9
165,戸,None,と,None,None,戸,と,Door,風//かぜ//で戸//と//が開//あ//いた。,The door opened because of the wind.,雨戸,あまど,Storm shutter,雨戸//あまど//を閉//し//めてください。,Please close the storm shutters.,,,,,,,,,,,,,,,,,,,,,"と,しゃ,せ,こ","ど,しゃ,せ,こ",,,,,,,,,,,9
166,声,None,こえ,None,None,声,こえ,Voice,声//こえ//が小//ちい//さくて、聞//き//こえないです。,"Your voice is too soft, so I can't hear you.",大声,おおごえ,Loud voice,大声//おおごえ//で話//はな//さないでください。,Don’t speak in a loud voice.,小声,こごえ,"Whisper, Low Voice",図書館//としょかん//では小声//こごえ//で話//はな//しました。,I spoke in a whisper at the library.,,,,,,,,,,,,,,,,"こえ,こ,せい,こん","ごえ,ご,こ,がえ","ごえ,ご,こ,がえ",,,,,,,,,,9
167,語,None,かた,None,None,語る,かたる,"To talk about, To Narrate","彼//かれ//は会社//かいしゃ//のビジョンを語//かた//りました。(Think like telling a story, strucuted, thoughtful discourse)",He talked about the company's vision.,語り合う,かたりあう,To discuss,将来//しょうらい//の夢//ゆめ//について友達//ともだち//と語//かた//り合//あ//った。(conveys a sense of deep or meaningful conversation),I had a heartfelt conversation with my friend about our future dreams.,,,,,,,,,,,,,,,,,,,,,"かた,せい,け,がた","かた,ご,け,がた",,,,,,,,,,,9
168,親,None,おや,した,None,親,おや,Parents,一人暮//ひとりぐ//らしすると親//おや//のありがたみが分//わ//かる。,"When you start living alone, you realize the value of your parents.",親子,おやこ,Parent and child,親子//おやこ//で旅行//りょこう//しました。(Refers to the relationship between parent and child),I traveled with my child.,親しい,したしい,"Intimate, Familiar",親//した//しい仲//なか//にも礼儀//れいぎ//が大切//たいせつ//です。,"Politeness is important, even among close relationships.",親しむ,したしむ,To become familiar,日本文化//にほんぶんか//を親//した//しんでいます。,I am becoming familiar with Japanese culture.,,,,,,,,,,,"おや,せん,さ,しん","おや,した,おん,し","した,さた,しん,かな","した,さた,しん,かな",,,,,,,,,9
169,園,None,その,None,None,花園,はなぞの,Flower garden,秘密//ひみつ//の花園//はなぞの//にたどり着//つ//いた。,I arrived at the secret flower garden.,,,,,,,,,,,,,,,,,,,,,,,,,,"ぞの,その,そ,えん",,,,,,,,,,,,9
170,聞,None,き,None,None,聞く,きく,To listen,音楽//おんがく//を聞//き//いています。,I am listening to music.,聞こえる,きこえる,"To be heard, Audible",彼//かれ//の声//こえ//が聞//き//こえます。,I can hear his voice.,聞き手,ききて,Listener,聞//き//き手//て//の立場//たちば//に立//た//って話//はな//すことが大切//たいせつ//です。,It's important to speak from the listener's perspective.,,,,,,,,,,,,,,,,"き,せん,きん,ぶん","き,せん,ぶん,しん","き,ぎ, ぎん,しん",,,,,,,,,,9
171,馬,None,うま,ま,None,馬,うま,Horse,その馬//うま//は黒//くろ//くて美//うつく//しい,That horse is black and beautiful.,絵//え//馬,えま,Ema,絵馬//えま//に願//ねが//いを書//か//く。(Ema's are wodden plaques used in Shinto rituals.),Write a wish on an ema.,子馬,こうま,"Foal, Young horse",子馬//こうま//が生//う//まれました。,A foal was born.,,,,,,,,,,,,,,,,"うま,う,ば,じょう","ま,しゃ,うま,ば","うま,う,ば,じょう",,,,,,,,,,9
172,矢,None,や,None,None,矢印//じるし//,やじるし,Arrow,矢印//やじるし//に従//したが//って進//すす//んでください。,Follow the arrow.,弓//ゆみ//矢,ゆみや,Bow and arrow,弓矢//ゆみや//で遊//あそ//びました。,I played with a bow and arrow.,矢先,やさき,"Just as, Right before",出//で//かけようとした矢先//やさき//に雨//あめ//が降//ふ//ってきた。(highlights an unexpected event.),"Just as I was about to leave, it started to rain.",,,,,,,,,,,,,,,,"や,せ,さき,せん","や,せ,さき,せん","や,せ, さき,せん",,,,,,,,,,9
173,頭,None,あたま,かしら,None,頭,あたま,Head,頭//あたま//が良//よ//いです。(very common),He is smart.,頭を使//つか//う,あたまをつかう,To use your brain,頭//あたま//を使//つか//って考//かんが//えよう。,Let’s use our brains and think harder.,頭が切れる,あたまがきれる,"Clever, Smart",彼女//かのじょ//は本当//ほんとう//に頭//あたま//が切//き//れるね。,She’s really clever.,頭を冷//ひ//やす,あたまをひやす,"Calm down, cool your head",頭//あたま//を冷//ひ//やしたくて少//すこ//し散歩//さんぽ//をしてきた。,I went for a walk to clear my head.,頭文字,かしらもじ,Initials,私//わたし//の名前//なまえ//の頭//かしら//文字//もじ//はT.K.です。,My initials are T.K.,,,,,,"あたま,かしら,とう,あた","あたま,かしら,とう,あた","あたま,かしら,とう,あた","あたま,かしら,とう,あた","かしら,とう,あた,ご",,,,,,,,9
174,食,None,た,く,None,食べる,たべる,To eat,ご飯//はん//を食//た//べました。,I ate rice.,食う,くう,To consume,"魚//さかな//を食//く//いました。(""食う"" is rough and informal, while ""食べる"" is neutral and polite.)",I ate some delicious fish.,食べ物//もの//,たべもの,Food,好//す//きな食//た//べ物//もの//は何//なん//ですか？,What’s your favorite food?,,,,,,,,,,,,,,,,"た,だ,くう,しょく","く,くう,くら,た","た,だ,くう,しょく",,,,,,,,,,9
175,門,None,かど,None,None,門出,かどで,"Departure, Embark on journey",門出//かどで//の日//ひ//を迎//むか//えました。(Think like a new phase of life.),Today's the day of my new beginning.,,,,,,,,,,,,,,,,,,,,,,,,,,"かど, かと,もん,も",,,,,,,,,,,,9
176,何,None,なに,なん,None,何人,なんにん,How many people,何人//なんにん//いますか？,How many people are there?,何時,なんじ,What time,今//いま//、何時//なんじ//ですか？,What time is it now?,何度//ど//,なんど,How many times,何度//なんど//、京都//きょうと//に行//い//ったことありますか？,How many times have you been to Kyoto?,,,,,,,,,,,,,,,,"なん,なむ,ばん,な","なん,なむ,ばん,な","なん,なむ,ばん,な","なん,なむ,ばん,な",,,,,,,,,9
177,南,None,みなみ,None,None,南口,みなみぐち,South exit,駅//えき//の南口//みなみぐち//で待//ま//ち合//あ//わせしましょう。,Let’s meet at the south exit of the station.,南,みなみ,South,南//みなみ//へ向//む//かいます。,I’m heading south.,,,,,,,,,,,,,,,,,,,,,"みなみ,みな,なん,な","みなみ,みな,なん,な",,,,,,,,,,,9
178,船,None,ふね,ふな,None,船,ふね,"Ship, boat",彼//かれ//は船//ふね//で世界//せかい//一周//いっしゅう//の旅//たび//に出//で//ました。,He went on a journey around the world by ship.,大船,おおぶね,Large ship,"大船//おおぶね//に乗//の//った気持//きも//ちで待//ま//っててください。(A Japanese Idiom meant to convey reassurance, like the situation is under control)","Please wait, rest assured, as if you're on a big ship.",船出,ふなで,Setting sail,船出//ふなで//の日//ひ//は快晴//かいせい//でした。,The day of setting sail was sunny.,,,,,,,,,,,,,,,,"ふね,ふな,ふう,せん","ぶね,ふな,ふう,せん","ふな,ふわ,ふあ,ふ",,,,,,,,,,9
179,答,None,こた,None,None,答える,こたえる,To answer,質問//しつもん//に答//こた//えました。,I answered the question.,答え,こたえ,Answer,正//ただ//しい答//こた//えを選//えら//んでください。,Please choose the correct answer.,,,,,,,,,,,,,,,,,,,,,"こた, ごたえ, こ,とう","こた, ごたえ, こ,とう",,,,,,,,,,,9
180,夜,None,よる,よ,None,夜,よる,Night,私//わたし//はいつも夜//よる//に目//め//が覚//さ//めてしまう。,I always wake up in the night.,夜道,よみち,Night road,夜道//よみち//を歩//ある//くのは危険//きけん//です。,Walking at night is dangerous.,夜空,よぞら,Night sky,夜空//よぞら//に星//ほし//が輝//かがや//いています。,Stars are shining in the night sky.,,,,,,,,,,,,,,,,"よる, お,よ,や","よ, お,よる,や","よ, お,よる,や",,,,,,,,,,9
181,羽,None,はね,は,わ,羽,はね,"Feather, Wing",鳥//とり//の羽//はね//が風//かぜ//に乗//の//って舞//ま//い上//あ//がりました。,The bird's feather floated up in the wind.,羽音,はおと,Sound of wings,蜂//はち//の羽音//はおと//が耳元//みみもと//で聞//き//こえました。,I heard the buzzing of a bee's wings near my ear.,一羽,いちわ,One bird,木//き//の上//うえ//に一羽//いちわ//の鳥//とり//がとまっています。,A bird is perched on the tree.,,,,,,,,,,,,,,,,"はね,わね,は,あ","は,わ,や,あ","わ,あ,や,はね",,,,,,,,,,10
182,万,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
183,店,None,みせ,None,None,店,みせ,Shop,10時//じ//に店//みせ//が開//ひら//きました。,The store opened at 10 o'clock.,,,,,,,,,,,,,,,,,,,,,,,,,,"みせ,てん,みぜ,み",,,,,,,,,,,,10
184,帰,None,かえ,None,None,帰る,かえる,To return,早//はや//く帰//かえ//ってきてね。,"Come back soon, okay?",帰す,かえす,To send back,子供//こども//を家//いえ//に帰//かえ//しました。,I sent the child home.,,,,,,,,,,,,,,,,,,,,,"かえ, かい,き, さ","かえ, かい,き, さ",,,,,,,,,,,10
185,歌,None,うた,None,None,歌,うた,"Song, Sing",この歌//うた//、聞//き//いたことある？,Have you heard this song before?,歌う,うたう,To sing,カラオケで歌//うた//っています。,I am singing karaoke.,歌声,うたごえ,Singing voice,彼女//かのじょ//の歌声//うたごえ//は美//うつく//しいです。,Her singing voice is beautiful.,,,,,,,,,,,,,,,,"うた, け, か,うわ","うた, け, か,うわ","うた, け, か,うわ",,,,,,,,,,10
